State,Area_Name,Rural-urban_Continuum Code_2013,Economic_typology_2015,POP_ESTIMATE_2019
AZ,Greenlee County,7,2,"9,498"
AZ,La Paz County,6,5,"21,108"
AZ,Maricopa County,1,0,"4,485,414"
AZ,Mohave County,3,5,"212,181"
AZ,Navajo County,4,5,"110,924"
AZ,Pima County,2,0,"1,047,279"
AZ,Pinal County,1,0,"462,789"
AZ,Santa Cruz County,4,4,"46,498"
AZ,Yavapai County,3,5,"235,099"
AZ,Yuma County,3,5,"213,787"
AR,Arkansas County,6,3,"17,486"
AR,Ashley County,7,3,"19,657"
AR,Baxter County,7,0,"41,932"
AR,Benton County,2,0,"279,141"
AR,Boone County,7,0,"37,432"
AR,Bradley County,7,0,"10,763"
AR,Calhoun County,9,3,"5,189"
AR,Carroll County,6,3,"28,380"
AR,Chicot County,7,1,"10,118"
AR,Clark County,7,4,"22,320"
AR,Clay County,7,1,"14,551"
AR,Cleburne County,6,5,"24,919"
AR,Cleveland County,3,0,"7,956"
AR,Columbia County,7,3,"23,457"
AR,Conway County,6,0,"20,846"
AR,Craighead County,3,0,"110,332"
AR,Crawford County,2,3,"63,257"
AR,Crittenden County,1,0,"47,955"
AR,Cross County,6,0,"16,419"
AR,Dallas County,6,0,"7,009"
AR,Desha County,6,0,"11,361"
AR,Drew County,6,4,"18,219"
AR,Faulkner County,2,0,"126,007"
AR,Franklin County,6,0,"17,715"
AR,Fulton County,9,0,"12,477"
AR,Garland County,3,5,"99,386"
AR,Grant County,2,0,"18,265"
AR,Greene County,4,3,"45,325"
AR,Hempstead County,6,0,"21,532"
AR,Hot Spring County,6,0,"33,771"
AR,Howard County,6,3,"13,202"
AR,Independence County,7,3,"37,825"
AR,Izard County,9,4,"13,629"
AR,Jackson County,6,4,"16,719"
AR,Jefferson County,3,4,"66,824"
AR,Johnson County,7,3,"26,578"
AR,Lafayette County,8,0,"6,624"
AR,Lawrence County,6,0,"16,406"
AR,Lee County,7,1,"8,857"
AR,Lincoln County,3,4,"13,024"
AR,Little River County,3,3,"12,259"
AR,Logan County,6,0,"21,466"
AR,Lonoke County,2,0,"73,309"
AR,Madison County,2,3,"16,576"
AR,Marion County,9,3,"16,694"
AR,Miller County,3,0,"43,257"
AR,Mississippi County,4,3,"40,651"
AR,Monroe County,7,0,"6,701"
AR,Montgomery County,8,5,"8,986"
AR,Nevada County,7,3,"8,252"
AR,Newton County,9,1,"7,753"
AR,Ouachita County,7,4,"23,382"
AR,Perry County,2,0,"10,455"
AR,Phillips County,6,0,"17,782"
AR,Pike County,9,0,"10,718"
AR,Poinsett County,3,0,"23,528"
AR,Polk County,7,0,"19,964"
AR,Pope County,5,0,"64,072"
AR,Prairie County,8,1,"8,062"
AR,Pulaski County,2,4,"391,911"
AR,Randolph County,7,0,"17,958"
AR,St. Francis County,6,4,"24,994"
AR,Saline County,2,0,"122,437"
AR,Scott County,6,3,"10,281"
AR,Searcy County,9,0,"7,881"
AR,Sebastian County,2,3,"127,827"
AR,Sevier County,6,3,"17,007"
AR,Sharp County,7,0,"17,442"
AR,Stone County,9,0,"12,506"
AR,Union County,7,2,"38,682"
AR,Van Buren County,8,0,"16,545"
AR,Washington County,2,0,"239,187"
AR,White County,4,0,"78,753"
AR,Woodruff County,9,0,"6,320"
AR,Yell County,6,3,"21,341"
CA,Alameda County,1,0,"1,671,329"
CA,Alpine County,8,5,"1,129"
CA,Amador County,6,4,"39,752"
CA,Butte County,3,0,"219,186"
CA,Calaveras County,6,5,"45,905"
CA,Colusa County,6,1,"21,547"
CA,Contra Costa County,1,0,"1,153,526"
CA,Del Norte County,7,4,"27,812"
CA,El Dorado County,1,5,"192,843"
CA,Fresno County,2,0,"999,101"
CA,Glenn County,6,1,"28,393"
CA,Humboldt County,5,0,"135,558"
CA,Imperial County,3,4,"181,215"
CA,Inyo County,7,5,"18,039"
CA,Kern County,2,0,"900,202"
CA,Kings County,3,4,"152,940"
CA,Lake County,4,0,"64,386"
CA,Lassen County,7,4,"30,573"
CA,Los Angeles County,1,0,"10,039,107"
CA,Madera County,3,0,"157,327"
CA,Marin County,1,5,"258,826"
CA,Mariposa County,8,5,"17,203"
CA,Mendocino County,4,5,"86,749"
CA,Merced County,2,0,"277,680"
CA,Modoc County,6,4,"8,841"
CA,Mono County,7,5,"14,444"
CA,Monterey County,2,5,"434,061"
CA,Napa County,3,5,"137,744"
CA,Nevada County,4,5,"99,755"
CA,Orange County,1,0,"3,175,692"
CA,Placer County,1,5,"398,329"
CA,Plumas County,7,5,"18,807"
CA,Riverside County,1,5,"2,470,546"
CA,Sacramento County,1,4,"1,552,058"
CA,San Benito County,1,0,"62,808"
CA,San Bernardino County,1,0,"2,180,085"
CA,San Diego County,1,0,"3,338,330"
CA,San Francisco County,1,0,"881,549"
CA,San Joaquin County,2,0,"762,148"
CA,San Luis Obispo County,2,5,"283,111"
CA,San Mateo County,1,0,"766,573"
CA,Santa Barbara County,2,0,"446,499"
CA,Santa Clara County,1,3,"1,927,852"
CA,Santa Cruz County,2,5,"273,213"
CA,Shasta County,3,0,"180,080"
CA,Sierra County,8,5,"3,005"
CA,Siskiyou County,6,0,"43,539"
CA,Solano County,2,0,"447,643"
CA,Sonoma County,2,5,"494,336"
CA,Stanislaus County,2,0,"550,660"
CA,Sutter County,3,0,"96,971"
CA,Tehama County,4,0,"65,084"
CA,Trinity County,8,4,"12,285"
CA,Tulare County,2,0,"466,195"
CA,Tuolumne County,4,5,"54,478"
CA,Ventura County,2,0,"846,006"
CA,Yolo County,1,4,"220,500"
CA,Yuba County,3,4,"78,668"
CO,Adams County,1,0,"517,421"
CO,Alamosa County,7,4,"16,233"
CO,Arapahoe County,1,0,"656,590"
CO,Archuleta County,7,5,"14,029"
CO,Baca County,9,1,"3,581"
CO,Bent County,7,1,"5,577"
CO,Boulder County,2,0,"326,196"
CO,Broomfield County,1,0,"70,465"
CO,Chaffee County,7,5,"20,356"
CO,Cheyenne County,9,1,"1,831"
CO,Clear Creek County,1,2,"9,700"
CO,Conejos County,9,1,"8,205"
CO,Costilla County,9,1,"3,887"
CO,Crowley County,8,4,"6,061"
CO,Custer County,8,5,"5,068"
CO,Delta County,6,2,"31,162"
CO,Denver County,1,0,"727,211"
CO,Dolores County,9,1,"2,055"
CO,Douglas County,1,0,"351,154"
CO,Eagle County,5,5,"55,127"
CO,Elbert County,1,1,"26,729"
CO,El Paso County,2,0,"720,403"
CO,Fremont County,4,4,"47,839"
CO,Garfield County,5,2,"60,061"
CO,Gilpin County,1,5,"6,243"
CO,Grand County,7,5,"15,734"
CO,Gunnison County,7,2,"17,462"
CO,Hinsdale County,9,5,820
CO,Huerfano County,6,5,"6,897"
CO,Jackson County,9,1,"1,392"
CO,Jefferson County,1,0,"582,881"
CO,Kiowa County,9,1,"1,406"
CO,Kit Carson County,7,1,"7,097"
CO,Lake County,6,2,"8,127"
CO,La Plata County,4,5,"56,221"
CO,Larimer County,2,5,"356,899"
CO,Las Animas County,7,0,"14,506"
CO,Lincoln County,8,4,"5,701"
CO,Logan County,7,4,"22,409"
CO,Mesa County,3,0,"154,210"
CO,Mineral County,9,5,769
CO,Moffat County,7,2,"13,283"
CO,Montezuma County,6,0,"26,183"
CO,Montrose County,4,0,"42,758"
CO,Morgan County,6,3,"29,068"
CO,Otero County,6,0,"18,278"
CO,Ouray County,9,5,"4,952"
CO,Park County,1,5,"18,845"
CO,Phillips County,9,1,"4,265"
CO,Pitkin County,7,5,"17,767"
CO,Prowers County,7,0,"12,172"
CO,Pueblo County,3,0,"168,424"
CO,Rio Blanco County,9,2,"6,324"
CO,Rio Grande County,7,0,"11,267"
CO,Routt County,7,5,"25,638"
CO,Saguache County,9,1,"6,824"
CO,San Juan County,9,5,728
CO,San Miguel County,9,5,"8,179"
CO,Sedgwick County,9,1,"2,248"
CO,Summit County,5,5,"31,011"
CO,Teller County,2,5,"25,388"
CO,Washington County,9,1,"4,908"
CO,Weld County,2,0,"324,492"
CO,Yuma County,7,1,"10,019"
CT,Fairfield County,2,0,"943,332"
CT,Hartford County,1,0,"891,720"
CT,Litchfield County,4,0,"180,333"
CT,Middlesex County,1,0,"162,436"
CT,New Haven County,2,0,"854,757"
CT,New London County,2,0,"265,206"
CT,Tolland County,1,4,"150,721"
CT,Windham County,2,0,"116,782"
DE,Kent County,3,4,"180,786"
DE,New Castle County,1,0,"558,753"
DE,Sussex County,2,5,"234,225"
DC,District of Columbia,1,4,"705,749"
FL,Alachua County,2,4,"269,043"
FL,Baker County,1,4,"29,210"
FL,Bay County,3,5,"174,705"
FL,Bradford County,6,0,"28,201"
FL,Brevard County,2,0,"601,942"
FL,Broward County,1,0,"1,952,778"
FL,Calhoun County,6,4,"14,105"
FL,Charlotte County,3,5,"188,910"
FL,Citrus County,3,0,"149,657"
FL,Clay County,1,0,"219,252"
FL,Collier County,2,5,"384,902"
FL,Columbia County,4,4,"71,686"
FL,DeSoto County,6,0,"38,001"
FL,Dixie County,6,4,"16,826"
FL,Duval County,1,0,"957,755"
FL,Escambia County,2,0,"318,316"
FL,Flagler County,2,0,"115,081"
FL,Franklin County,6,4,"12,125"
FL,Gadsden County,2,4,"45,660"
FL,Gilchrist County,2,4,"18,582"
FL,Glades County,6,0,"13,811"
FL,Gulf County,3,4,"13,639"
FL,Hamilton County,6,4,"14,428"
FL,Hardee County,6,0,"26,937"
FL,Hendry County,4,1,"42,022"
FL,Hernando County,1,0,"193,920"
FL,Highlands County,3,0,"106,221"
FL,Hillsborough County,1,0,"1,471,968"
FL,Holmes County,6,4,"19,617"
FL,Indian River County,3,5,"159,923"
FL,Jackson County,6,4,"46,414"
FL,Jefferson County,2,4,"14,246"
FL,Lafayette County,9,4,"8,422"
FL,Lake County,1,0,"367,118"
FL,Lee County,2,5,"770,577"
FL,Leon County,2,4,"293,582"
FL,Levy County,6,0,"41,503"
FL,Liberty County,8,4,"8,354"
FL,Madison County,6,0,"18,493"
FL,Manatee County,2,5,"403,253"
FL,Marion County,2,0,"365,579"
FL,Martin County,2,5,"161,000"
FL,Miami-Dade County,1,0,"2,716,940"
FL,Monroe County,4,5,"74,228"
FL,Nassau County,1,5,"88,625"
FL,Okaloosa County,3,0,"210,738"
FL,Okeechobee County,4,0,"42,168"
FL,Orange County,1,5,"1,393,452"
FL,Osceola County,1,5,"375,751"
FL,Palm Beach County,1,5,"1,496,770"
FL,Pasco County,1,0,"553,947"
FL,Pinellas County,1,0,"974,996"
FL,Polk County,2,0,"724,777"
FL,Putnam County,4,0,"74,521"
FL,St. Johns County,1,5,"264,672"
FL,St. Lucie County,2,0,"328,297"
FL,Santa Rosa County,2,0,"184,313"
FL,Sarasota County,2,5,"433,742"
FL,Seminole County,1,0,"471,826"
FL,Sumter County,3,4,"132,420"
FL,Suwannee County,6,0,"44,417"
FL,Taylor County,6,3,"21,569"
FL,Union County,6,0,"15,237"
FL,Volusia County,2,0,"553,284"
FL,Wakulla County,2,4,"33,739"
FL,Walton County,3,5,"74,071"
FL,Washington County,6,4,"25,473"
GA,Appling County,7,0,"18,386"
GA,Atkinson County,9,3,"8,165"
GA,Bacon County,7,0,"11,164"
GA,Baker County,3,1,"3,038"
GA,Baldwin County,4,4,"44,890"
GA,Banks County,8,0,"19,234"
GA,Barrow County,1,0,"83,240"
GA,Bartow County,1,3,"107,738"
GA,Ben Hill County,7,3,"16,700"
GA,Berrien County,6,0,"19,397"
GA,Bibb County,3,0,"153,159"
GA,Bleckley County,6,4,"12,873"
GA,Brantley County,3,0,"19,109"
GA,Brooks County,3,1,"15,457"
GA,Bryan County,2,0,"39,627"
GA,Bulloch County,4,4,"79,608"
GA,Burke County,2,0,"22,383"
GA,Butts County,1,0,"24,936"
GA,Calhoun County,8,1,"6,189"
GA,Camden County,4,4,"54,666"
GA,Candler County,7,0,"10,803"
GA,Carroll County,1,0,"119,992"
GA,Catoosa County,2,0,"67,580"
GA,Charlton County,6,0,"13,392"
GA,Chatham County,2,0,"289,430"
GA,Chattahoochee County,2,0,"10,907"
GA,Chattooga County,6,3,"24,789"
GA,Cherokee County,1,0,"258,773"
GA,Clarke County,3,4,"128,331"
GA,Clay County,9,4,"2,834"
GA,Clayton County,1,0,"292,256"
GA,Clinch County,6,3,"6,618"
GA,Cobb County,1,0,"760,141"
GA,Coffee County,7,0,"43,273"
GA,Colquitt County,6,0,"45,600"
GA,Columbia County,2,0,"156,714"
GA,Cook County,6,0,"17,270"
GA,Coweta County,1,0,"148,509"
GA,Crawford County,3,0,"12,404"
GA,Crisp County,6,0,"22,372"
GA,Dade County,2,0,"16,116"
GA,Dawson County,1,5,"26,108"
GA,Decatur County,6,0,"26,404"
GA,DeKalb County,1,0,"759,297"
GA,Dodge County,6,4,"20,605"
GA,Dooly County,6,3,"13,390"
GA,Dougherty County,3,4,"87,956"
GA,Douglas County,1,0,"146,343"
GA,Early County,6,3,"10,190"
GA,Echols County,3,0,"4,006"
GA,Effingham County,2,3,"64,296"
GA,Elbert County,6,3,"19,194"
GA,Emanuel County,7,3,"22,646"
GA,Evans County,6,3,"10,654"
GA,Fannin County,8,5,"26,188"
GA,Fayette County,1,0,"114,421"
GA,Floyd County,3,0,"98,498"
GA,Forsyth County,1,0,"244,252"
GA,Franklin County,8,0,"23,349"
GA,Fulton County,1,0,"1,063,937"
GA,Gilmer County,6,5,"31,369"
GA,Glascock County,9,0,"2,971"
GA,Glynn County,3,4,"85,292"
GA,Gordon County,4,3,"57,963"
GA,Grady County,6,0,"24,633"
GA,Greene County,6,5,"18,324"
GA,Gwinnett County,1,0,"936,250"
GA,Habersham County,6,3,"45,328"
GA,Hall County,3,3,"204,441"
GA,Hancock County,7,4,"8,457"
GA,Haralson County,1,3,"29,792"
GA,Harris County,2,5,"35,236"
GA,Hart County,6,0,"26,205"
GA,Heard County,1,0,"11,923"
GA,Henry County,1,0,"234,561"
GA,Houston County,3,4,"157,863"
GA,Irwin County,7,1,"9,416"
GA,Jackson County,4,3,"72,977"
GA,Jasper County,1,0,"14,219"
GA,Jeff Davis County,7,3,"15,115"
GA,Jefferson County,6,0,"15,362"
GA,Jenkins County,6,0,"8,676"
GA,Johnson County,7,4,"9,643"
GA,Jones County,3,0,"28,735"
GA,Lamar County,1,4,"19,077"
GA,Lanier County,3,0,"10,423"
GA,Laurens County,5,4,"47,546"
GA,Lee County,3,0,"29,992"
GA,Liberty County,3,4,"61,435"
GA,Lincoln County,2,5,"7,921"
GA,Long County,3,0,"19,559"
GA,Lowndes County,3,0,"117,406"
GA,Lumpkin County,6,4,"33,610"
GA,McDuffie County,2,3,"21,312"
GA,McIntosh County,3,5,"14,378"
GA,Macon County,6,3,"12,947"
GA,Madison County,3,0,"29,880"
GA,Marion County,2,3,"8,359"
GA,Meriwether County,1,4,"21,167"
GA,Miller County,8,1,"5,718"
GA,Mitchell County,6,3,"21,863"
GA,Monroe County,3,4,"27,578"
GA,Montgomery County,9,0,"9,172"
GA,Morgan County,1,0,"19,276"
GA,Murray County,3,3,"40,096"
GA,Muscogee County,2,0,"195,769"
GA,Newton County,1,3,"111,744"
GA,Oconee County,3,0,"40,280"
GA,Oglethorpe County,3,1,"15,259"
GA,Paulding County,1,0,"168,667"
GA,Peach County,3,3,"27,546"
GA,Pickens County,1,5,"32,591"
GA,Pierce County,6,0,"19,465"
GA,Pike County,1,0,"18,962"
GA,Polk County,4,3,"42,613"
GA,Pulaski County,3,0,"11,137"
GA,Putnam County,6,5,"22,119"
GA,Quitman County,9,0,"2,299"
GA,Rabun County,7,5,"17,137"
GA,Randolph County,6,0,"6,778"
GA,Richmond County,2,4,"202,518"
GA,Rockdale County,1,0,"90,896"
GA,Schley County,8,3,"5,257"
GA,Screven County,6,3,"13,966"
GA,Seminole County,6,1,"8,090"
GA,Spalding County,1,0,"66,703"
GA,Stephens County,7,0,"25,925"
GA,Stewart County,8,4,"6,621"
GA,Sumter County,6,4,"29,524"
GA,Talbot County,8,0,"6,195"
GA,Taliaferro County,8,0,"1,537"
GA,Tattnall County,6,4,"25,286"
GA,Taylor County,8,0,"8,020"
GA,Telfair County,7,3,"15,860"
GA,Terrell County,3,0,"8,531"
GA,Thomas County,4,0,"44,451"
GA,Tift County,5,0,"40,644"
GA,Toombs County,7,0,"26,830"
GA,Towns County,9,5,"12,037"
GA,Treutlen County,7,0,"6,901"
GA,Troup County,4,3,"69,922"
GA,Turner County,6,0,"7,985"
GA,Twiggs County,3,2,"8,120"
GA,Union County,9,5,"24,511"
GA,Upson County,6,0,"26,320"
GA,Walker County,2,3,"69,761"
GA,Walton County,1,0,"94,593"
GA,Ware County,5,0,"35,734"
GA,Warren County,8,0,"5,254"
GA,Washington County,7,4,"20,374"
GA,Wayne County,6,4,"29,927"
GA,Webster County,8,3,"2,607"
GA,Wheeler County,9,0,"7,855"
GA,White County,6,5,"30,798"
GA,Whitfield County,3,3,"104,628"
GA,Wilcox County,8,1,"8,635"
GA,Wilkes County,6,0,"9,777"
GA,Wilkinson County,8,2,"8,954"
GA,Worth County,3,1,"20,247"
HI,Hawaii County,5,4,"201,513"
HI,Honolulu County,2,4,"974,563"
HI,Kalawao County,3,5,86
HI,Kauai County,5,5,"72,293"
HI,Maui County,3,5,"167,417"
ID,Ada County,2,0,"481,587"
ID,Adams County,9,4,"4,294"
ID,Bannock County,3,4,"87,808"
ID,Bear Lake County,9,5,"6,125"
ID,Benewah County,6,0,"9,298"
ID,Bingham County,4,0,"46,811"
ID,Blaine County,7,5,"23,021"
ID,Boise County,2,4,"7,831"
ID,Bonner County,6,5,"45,739"
ID,Bonneville County,3,0,"119,062"
ID,Boundary County,7,0,"12,245"
ID,Butte County,3,0,"2,597"
ID,Camas County,9,0,"1,106"
ID,Canyon County,2,0,"229,849"
ID,Caribou County,6,3,"7,155"
ID,Cassia County,7,1,"24,030"
ID,Clark County,9,1,845
ID,Clearwater County,6,4,"8,756"
ID,Custer County,8,2,"4,315"
ID,Elmore County,6,0,"27,511"
ID,Franklin County,3,1,"13,876"
ID,Fremont County,6,4,"13,099"
ID,Gem County,2,0,"18,112"
ID,Gooding County,7,1,"15,179"
ID,Idaho County,6,4,"16,667"
ID,Jefferson County,3,1,"29,871"
ID,Jerome County,7,1,"24,412"
ID,Kootenai County,3,5,"165,697"
ID,Latah County,4,4,"40,108"
ID,Lemhi County,7,4,"8,027"
ID,Lewis County,8,1,"3,838"
ID,Lincoln County,9,1,"5,366"
ID,Madison County,4,0,"39,907"
ID,Minidoka County,7,1,"21,039"
ID,Nez Perce County,3,0,"40,408"
ID,Oneida County,8,1,"4,531"
ID,Owyhee County,2,1,"11,823"
ID,Payette County,6,0,"23,951"
ID,Power County,6,1,"7,681"
ID,Shoshone County,6,2,"12,882"
ID,Teton County,9,5,"12,142"
ID,Twin Falls County,5,0,"86,878"
ID,Valley County,8,5,"11,392"
ID,Washington County,6,0,"10,194"
IL,Adams County,5,0,"65,435"
IL,Alexander County,3,4,"5,761"
IL,Bond County,1,4,"16,426"
IL,Boone County,2,3,"53,544"
IL,Brown County,7,0,"6,578"
IL,Bureau County,7,0,"32,628"
IL,Calhoun County,1,1,"4,739"
IL,Carroll County,7,0,"14,305"
IL,Cass County,6,3,"12,147"
IL,Champaign County,3,4,"209,689"
IL,Christian County,6,0,"32,304"
IL,Clark County,6,3,"15,441"
IL,Clay County,7,3,"13,184"
IL,Clinton County,1,0,"37,562"
IL,Coles County,5,4,"50,621"
IL,Cook County,1,0,"5,150,233"
IL,Crawford County,7,3,"18,667"
IL,Cumberland County,9,0,"10,766"
IL,DeKalb County,1,4,"104,897"
IL,De Witt County,3,0,"15,638"
IL,Douglas County,6,3,"19,465"
IL,DuPage County,1,0,"922,921"
IL,Edgar County,6,3,"17,161"
IL,Edwards County,9,3,"6,395"
IL,Effingham County,7,0,"34,008"
IL,Fayette County,6,0,"21,336"
IL,Ford County,3,0,"12,961"
IL,Franklin County,4,0,"38,469"
IL,Fulton County,6,0,"34,340"
IL,Gallatin County,8,0,"4,828"
IL,Greene County,6,1,"12,969"
IL,Grundy County,1,0,"51,054"
IL,Hamilton County,7,1,"8,116"
IL,Hancock County,7,0,"17,708"
IL,Hardin County,9,2,"3,821"
IL,Henderson County,9,1,"6,646"
IL,Henry County,2,0,"48,913"
IL,Iroquois County,6,1,"27,114"
IL,Jackson County,3,4,"56,750"
IL,Jasper County,7,1,"9,610"
IL,Jefferson County,7,0,"37,684"
IL,Jersey County,1,0,"21,773"
IL,Jo Daviess County,6,5,"21,235"
IL,Johnson County,8,4,"12,417"
IL,Kane County,1,0,"532,403"
IL,Kankakee County,3,0,"109,862"
IL,Kendall County,1,0,"128,990"
IL,Knox County,4,0,"49,699"
IL,Lake County,1,0,"696,535"
IL,LaSalle County,4,0,"108,669"
IL,Lawrence County,7,2,"15,678"
IL,Lee County,6,0,"34,096"
IL,Livingston County,4,0,"35,648"
IL,Logan County,6,0,"28,618"
IL,McDonough County,5,4,"29,682"
IL,McHenry County,1,0,"307,774"
IL,McLean County,3,0,"171,517"
IL,Macon County,3,3,"104,009"
IL,Macoupin County,1,0,"44,926"
IL,Madison County,1,0,"262,966"
IL,Marion County,4,0,"37,205"
IL,Marshall County,2,3,"11,438"
IL,Mason County,6,0,"13,359"
IL,Massac County,7,5,"13,772"
IL,Menard County,3,1,"12,196"
IL,Mercer County,2,0,"15,437"
IL,Monroe County,1,0,"34,637"
IL,Montgomery County,6,0,"28,414"
IL,Morgan County,4,0,"33,658"
IL,Moultrie County,6,3,"14,501"
IL,Ogle County,4,0,"50,643"
IL,Peoria County,2,0,"179,179"
IL,Perry County,6,4,"20,916"
IL,Piatt County,3,1,"16,344"
IL,Pike County,7,0,"15,561"
IL,Pope County,8,4,"4,177"
IL,Pulaski County,8,4,"5,335"
IL,Putnam County,8,3,"5,739"
IL,Randolph County,6,3,"31,782"
IL,Richland County,7,0,"15,513"
IL,Rock Island County,2,0,"141,879"
IL,St. Clair County,1,0,"259,686"
IL,Saline County,6,2,"23,491"
IL,Sangamon County,3,4,"194,672"
IL,Schuyler County,7,2,"6,768"
IL,Scott County,9,1,"4,951"
IL,Shelby County,6,1,"21,634"
IL,Stark County,2,1,"5,342"
IL,Stephenson County,4,3,"44,498"
IL,Tazewell County,2,3,"131,803"
IL,Union County,6,4,"16,653"
IL,Vermilion County,3,0,"75,758"
IL,Wabash County,7,2,"11,520"
IL,Warren County,6,3,"16,844"
IL,Washington County,6,0,"13,887"
IL,Wayne County,7,0,"16,215"
IL,White County,6,2,"13,537"
IL,Whiteside County,4,3,"55,175"
IL,Will County,1,0,"690,743"
IL,Williamson County,3,4,"66,597"
IL,Winnebago County,2,3,"282,572"
IL,Woodford County,2,3,"38,459"
IN,Adams County,6,3,"35,777"
IN,Allen County,2,0,"379,299"
IN,Bartholomew County,3,3,"83,779"
IN,Benton County,3,1,"8,748"
IN,Blackford County,6,3,"11,758"
IN,Boone County,1,0,"67,843"
IN,Brown County,1,5,"15,092"
IN,Carroll County,3,3,"20,257"
IN,Cass County,4,3,"37,689"
IN,Clark County,1,0,"118,302"
IN,Clay County,3,3,"26,225"
IN,Clinton County,6,3,"32,399"
IN,Crawford County,8,0,"10,577"
IN,Daviess County,7,0,"33,351"
IN,Dearborn County,1,5,"49,458"
IN,Decatur County,6,3,"26,559"
IN,DeKalb County,4,3,"43,475"
IN,Delaware County,3,4,"114,135"
IN,Dubois County,5,3,"42,736"
IN,Elkhart County,3,3,"206,341"
IN,Fayette County,6,0,"23,102"
IN,Floyd County,1,0,"78,522"
IN,Fountain County,6,3,"16,346"
IN,Franklin County,6,0,"22,758"
